cf,denominazione,url_trasparenza,categoria,raggiungibile,errore,disposizioni_generali,organizzazione,consulenti,personale,selezione_personale,bandi_contratti,sovvenzioni,bilanci,beni_immobili,controlli,pagamenti,accesso_civico,privacy,categorie_trovate,score
05802941004,'AZIENDA SPECIALE AMBIENTE TIVOLI SOCIETA' PER AZIONI' (A.S.A. TIVOLI S.P.A.),https://www.asativolispa.it/amministrazione-trasparente/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI,3,23.1
05259640729,'BARI MULTISERVIZI SOCIETA' PER AZIONI' IN SIGLA                 'BARI MULTISERVIZI S.P.A.',https://www.barimultiservizi.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
00110040193,'AZIENDA ENERGETICA MUNICIPALE S.P.A.' E PUO' ESSERE INDICATA    CON LA SIGLA 'A.E.M. CREMONA S.P.A.',https://aemcremona.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
10932291007,"'AMBIENTE, ENERGIA E TERRITORIO S.P.A.' IN FORMA ABBREVIATA      'AMBI.EN.TE. SPA'",https://aetspa.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
07857381003,'FLAVIA SERVIZI SOCIETA' A RESPONSABILITA' LIMITATA' OVVERO IN FORMA ABBREVIATA 'FLAVIA SERVIZI S.R.L.',https://www.flaviaservizi.it/societa-trasparente/,controllo_pubblico,True,,NO,SI,NO,NO,NO,SI,NO,NO,SI,NO,SI,NO,SI,5,38.5
06483450968,"'AEMME LINEA AMBIENTE S.R.L.'  O, IN FORMA ABBREVIATA 'ALA SRL'",https://www.aemmelineaambiente.it/amministrazione-trasparente/disposizioni-generali,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
05359681003,'CONSIP S.P.A.',https://www.consip.it/notizie-e-comunicati/anac-mef-e-consip-rafforzano-la-collaborazione-per-la-trasparenza-e-linnovazione-nel-procurement-pubblico,controllo_pubblico,True,,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,SI,SI,4,30.8
07170551001,'CAPITALE LAVORO - S.P.A.',http://trasparenza.capitalelavoro.it,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
05769510966,'NUOVENERGIE TELERISCALDAMENTO S.R.L.'  O IN FORMA ABBREVIATA    'NET S.R.L.',https://www.net-tlr.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01537100693,'ECO.LAN. S.P.A.',https://www.ecolanspa.it/amministrazione-trasparente,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
06253820820,'SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE       RIFIUTI PALERMO PROVINCIA OVEST SOCIETA' CONSORTILE PER AZIONI'                 IN SIGLA  'S.R.R. PALERMO PROVINCIA OVEST S.C.P.A.',https://www.srrpaovest.it/amm-trasparente/assemblea-dei-soci/,controllo_pubblico,True,,NO,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,4,30.8
06360270018,5T S.R.L.,https://www.5t.torino.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
06208031002,'GESTORE DEI MERCATI ENERGETICI S.P.A.',https://www.mercatoelettrico.org/it-it/home/societatrasparente/lavoraconnoi,controllo_pubblico,True,,NO,NO,SI,SI,NO,SI,NO,SI,SI,NO,NO,NO,SI,6,46.2
02213180124,'SARONNO SERVIZI S.P.A.',https://www.saronnoservizi.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
04786681215,'SOCIETA' REGIONALE PER LA SANITA' S.P.A.' IN BREVE SO.RE.SA. S.P.A.,https://www.soresa.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
80003550144,'SOCIETA' PER L'ECOLOGIA E L'AMBIENTE S.P.A.' OVVERO 'S.EC.AM.'  IN FORMA ABBREVIATA,https://www.secam.net/chi-siamo/societa-trasparente-2/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
02104100066,5 VALLI SERVIZI S.R.L.,https://www.5valliservizi.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
02462970415,A.E.S. FANO DISTRIBUZIONE GAS S.R.L.,https://www.aesfanogas.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,12,92.3
16955501008,3-I S.P.A.,https://www.3-i.gov.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
05486580961,'SOCIETA' ACQUA LODIGIANA S.R.L. ' O PIU' BREVEMENTE 'S.A.L. S.R.L. ',https://acqualodigiana.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
00515220440,'CENTRO AGRO-ALIMENTARE PICENO - SOCIETA' PER AZIONI' SIGLABILE  'C.A.A.P.  S.P.A.',https://www.agroalimentare.it/amministrazione-trasparente/,controllo_pubblico,True,,NO,SI,NO,SI,NO,SI,SI,SI,SI,NO,NO,NO,SI,7,53.8
01502970666,A.M.A. -  AZIENDA MOBILITA' AQUILANA - SOCIETA' PER AZIONI,http://www.pa33.it/trasparenza/amalaquila,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
03267330243,'UTILYA SOCIETA' A RESPONSABILITA' LIMITATA'                     O IN FORMA ABBREVIATA 'UTILYA S.R.L.',https://www.utilya.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,12,92.3
01937820833,A.M.A.M. AZIENDA MERIDIONALE ACQUE MESSINA S.P.A.,https://amam.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
05375771002,"'TECNOBORSA -  CONSORZIO PER LO SVILUPPO DEL MERCATO IMMOBILIARE-S.C.P.A.',  IN FORMA ABBREVIATA 'TECNOBORSA S.C.P.A.'",https://www.tecnoborsa.com/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
06601560821,A.M.B. S.P.A. AZIENDA MULTISERVIZI COMUNE DI BAGHERIA,https://ambspa.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
00405030586,'ACI INFORMATICA SOCIETA' PER AZIONI' IN BREVE 'ACI INFORMATICA  S.P.A.',https://trasparenza.aci.it/aci/informatica/pagina566_bandi-di-gara-e-contratti.html,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01935420768,A.M.A. S.R.L.,http://www.amautility.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,12,92.3
12015260156,A.M.A. AZIENDA MULTISERVIZI AMBIENTALI DI ROZZANO S.P.A.,https://www.amarozzano.it/societa-trasparente/,controllo_pubblico,True,,NO,SI,NO,NO,SI,SI,NO,SI,SI,NO,NO,NO,SI,6,46.2
02967830163,A T B  SERVIZI S.P.A.,https://www.atb.bergamo.it/il-gruppo/societa-trasparente,controllo_pubblico,True,,NO,SI,NO,NO,SI,SI,NO,SI,NO,SI,NO,NO,SI,6,46.2
01177760491,A.S.A. - AZIENDA SERVIZI AMBIENTALI S.P.A.,https://www.asaspa.it/societa-trasparente-2/,controllo_pubblico,True,,NO,SI,NO,NO,NO,SI,SI,SI,SI,NO,NO,SI,SI,7,53.8
02047620303,A&T 2000 S.P.A.,https://www.aet2000.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
00457550432,A.P.M. AZIENDA PLURISERVIZI MACERATA S.P.A.,https://www.apmgroup.it/societa_trasparente/disposizionigenerali/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
91006090798,A.KR.E.A. S.P.A. - AZIENDA KROTONESE PER L'ENERGIA E L'AMBIENTE,https://www.akreaspa.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
01537000026,A.T.A.P. - AZIENDA TRASPORTI AUTOMOBILISTICI PUBBLICI DELLE PROVINCE DI BIELLA E VERCELLI - S.P.A.,https://www.atapspa.it/societa-trasparente-l-1902012-e-d-lgs-332013/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
04626760963,A.SE.R-AZIENDA SERVIZI DEL RHODENSE S.P.A. (IN BREVE A.SE.R SPA),https://www.aserspa.net/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
02934390929,ABBANOA S.P.A,https://www.abbanoa.it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
12990150158,A.S.M. AZIENDA SPECIALE MULTISERVIZI S.R.L.,https://www.asmmagenta.it/societa_trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
90012310661,A.C.I.A.M. S.P.A,https://www.aciam.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
02244850125,A.V.T. - Azienda Varesina Trasporti e Mobilit? S.r.l.,https://avtvarese.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
01121810194,A.S.M. CASTELLEONE S.R.L.,https://www.asmcastelleone.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
01747910188,A.S.M. PAVIA S.P.A.,https://www.asm.pv.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
03567090232,ACQUE VERONESI S.C.A R.L.,https://www.acqueveronesi.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
05059960012,ACEA PINEROLESE INDUSTRIALE S.P.A.,https://www.aceapinerolese.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
03832490985,ACQUE BRESCIANE SRL,https://www.acquebresciane.it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
00132380874,ACOSET S.P.A.,https://acoset.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
02795950613,ACQUEDOTTI S.C.P.A.,https://www.acquedottiscpa.com/wp-content/plugins/amministrazione-trasparente/includes/css/gutenberg-page-widget.css?ver=1757448968,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
02111020596,ACQUALATINA  S.P.A.,società trasparente,controllo_pubblico,False,unknown url type: '/societ%C3%A0%20trasparente',,,,,,,,,,,,,,0,0
83002690275,A.S.V.O. - AMBIENTE SERVIZI VENEZIA  ORIENTALE - S.P.A.,https://www.asvo.it/./azienda/trasparenza,controllo_pubblico,True,,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,11,84.6
03636380655,A.C.S.E. - S.P.A. (AZIENDA COMUNALE SERVIZI ESTERNI),https://www.acsespa.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
02119730428,ACQUAMBIENTE MARCHE S.R.L.,https://acquambientemarche.portaleamministrazionetrasparente.it/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01594300434,A.S.P.P. S.R.L.,https://www.farmaciecomunalipotenzapicena.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,12,92.3
