cf,denominazione,sito,categoria,trovata,metodo,url,errore
05802941004,'AZIENDA SPECIALE AMBIENTE TIVOLI SOCIETA' PER AZIONI' (A.S.A. TIVOLI S.P.A.),https://www.asativolispa.it,controllo_pubblico,SI,link_in_homepage,https://www.asativolispa.it/amministrazione-trasparente/,
10932291007,"'AMBIENTE, ENERGIA E TERRITORIO S.P.A.' IN FORMA ABBREVIATA      'AMBI.EN.TE. SPA'",https://www.ambiente-spa.com,controllo_pubblico,SI,link_in_homepage,https://aetspa.portaletrasparenza.net/,
01537100693,'ECO.LAN. S.P.A.',https://www.ecolanspa.it,controllo_pubblico,SI,redirect,https://www.ecolanspa.it/amministrazione-trasparente,
07170551001,'CAPITALE LAVORO - S.P.A.',https://www.capitalelavoro.it,controllo_pubblico,SI,link_in_homepage,http://trasparenza.capitalelavoro.it,
01474230081,"'SERIS SERVIZI EDUCATIVI, RISTORAZIONE, INFANZIA, SPORT S.R.L.'",https://HTTP://WWW.SERISSRL.IT,controllo_pubblico,NO,,,connessione_rifiutata
06483450968,"'AEMME LINEA AMBIENTE S.R.L.'  O, IN FORMA ABBREVIATA 'ALA SRL'",https://www.aemmelineaambiente.it,controllo_pubblico,SI,link_in_homepage,https://www.aemmelineaambiente.it/amministrazione-trasparente/disposizioni-generali,
01799740855,'SOCIETA' CALTANISSETTA SERVICE IN HOUSE PROVIDING S.R.L.',https://www.caltanissettaservice.it,controllo_pubblico,NO,,,connessione_rifiutata
05259640729,'BARI MULTISERVIZI SOCIETA' PER AZIONI' IN SIGLA                 'BARI MULTISERVIZI S.P.A.',https://www.barimultiservizi.it,controllo_pubblico,SI,link_in_homepage,https://www.barimultiservizi.it/societa-trasparente/,
04416711002,'ISTITUTO NAZIONALE RICERCHE TURISTICHE - ISNART - SOCIETA' CONSORTILE PER AZIONI' IN SIGLA 'ISNART S.C.P.A.' O 'ISNART SCPA',https://www.isnart.it,controllo_pubblico,NO,,,
05359681003,'CONSIP S.P.A.',https://www.consip.it,controllo_pubblico,SI,link_in_homepage,https://www.consip.it/notizie-e-comunicati/anac-mef-e-consip-rafforzano-la-collaborazione-per-la-trasparenza-e-linnovazione-nel-procurement-pubblico,
00110040193,'AZIENDA ENERGETICA MUNICIPALE S.P.A.' E PUO' ESSERE INDICATA    CON LA SIGLA 'A.E.M. CREMONA S.P.A.',https://aemcremona.it,controllo_pubblico,SI,link_in_homepage,https://aemcremona.portaletrasparenza.net/,
07857381003,'FLAVIA SERVIZI SOCIETA' A RESPONSABILITA' LIMITATA' OVVERO IN FORMA ABBREVIATA 'FLAVIA SERVIZI S.R.L.',https://www.flaviaservizi.it,controllo_pubblico,SI,link_in_homepage,https://www.flaviaservizi.it/societa-trasparente/,
00405030586,'ACI INFORMATICA SOCIETA' PER AZIONI' IN BREVE 'ACI INFORMATICA  S.P.A.',https://www.informatica.aci.it,controllo_pubblico,SI,link_in_homepage,https://trasparenza.aci.it/aci/informatica/pagina566_bandi-di-gara-e-contratti.html,
05769510966,'NUOVENERGIE TELERISCALDAMENTO S.R.L.'  O IN FORMA ABBREVIATA    'NET S.R.L.',https://www.net-tlr.it,controllo_pubblico,SI,redirect,https://www.net-tlr.it/amministrazione-trasparente,
05486580961,'SOCIETA' ACQUA LODIGIANA S.R.L. ' O PIU' BREVEMENTE 'S.A.L. S.R.L. ',https://acqualodigiana.it,controllo_pubblico,SI,redirect,https://acqualodigiana.it/amministrazione-trasparente,
06208031002,'GESTORE DEI MERCATI ENERGETICI S.P.A.',https://www.mercatoelettrico.org,controllo_pubblico,SI,link_in_homepage,https://www.mercatoelettrico.org/it-it/home/societatrasparente/lavoraconnoi,
03440020984,1000 MIGLIA SRL,https://1000miglia.it,controllo_pubblico,NO,,,
04786681215,'SOCIETA' REGIONALE PER LA SANITA' S.P.A.' IN BREVE SO.RE.SA. S.P.A.,https://www.soresa.it,controllo_pubblico,SI,redirect,https://www.soresa.it/amministrazione-trasparente,
06360270018,5T S.R.L.,https://www.5t.torino.it,controllo_pubblico,SI,redirect,https://www.5t.torino.it/amministrazione-trasparente,
00515220440,'CENTRO AGRO-ALIMENTARE PICENO - SOCIETA' PER AZIONI' SIGLABILE  'C.A.A.P.  S.P.A.',https://www.agroalimentare.it,controllo_pubblico,SI,link_in_homepage,https://www.agroalimentare.it/amministrazione-trasparente/,
02213180124,'SARONNO SERVIZI S.P.A.',https://www.saronnoservizi.it,controllo_pubblico,SI,redirect,https://www.saronnoservizi.it/amministrazione-trasparente,
06253820820,'SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE       RIFIUTI PALERMO PROVINCIA OVEST SOCIETA' CONSORTILE PER AZIONI'                 IN SIGLA  'S.R.R. PALERMO PROVINCIA OVEST S.C.P.A.',https://www.srrpaovest.it,controllo_pubblico,SI,link_in_homepage,https://www.srrpaovest.it/amm-trasparente/assemblea-dei-soci/,
16955501008,3-I S.P.A.,https://www.3-i.gov.it,controllo_pubblico,SI,link_in_homepage,https://www.3-i.gov.it/societa-trasparente/,
80003550144,'SOCIETA' PER L'ECOLOGIA E L'AMBIENTE S.P.A.' OVVERO 'S.EC.AM.'  IN FORMA ABBREVIATA,https://www.secam.net,controllo_pubblico,SI,link_in_homepage,https://www.secam.net/chi-siamo/societa-trasparente-2/,
03267330243,'UTILYA SOCIETA' A RESPONSABILITA' LIMITATA'                     O IN FORMA ABBREVIATA 'UTILYA S.R.L.',https://www.utilya.it,controllo_pubblico,SI,link_in_homepage,https://www.utilya.it/amministrazione-trasparente/,
02104100066,5 VALLI SERVIZI S.R.L.,https://www.5valliservizi.it,controllo_pubblico,SI,redirect,https://www.5valliservizi.it/amministrazione-trasparente,
00456650928,'CARBOSULCIS-S.P.A.',https://www.carbosulcis.eu,controllo_pubblico,NO,,,
02462970415,A.E.S. FANO DISTRIBUZIONE GAS S.R.L.,https://www.aesfanogas.it,controllo_pubblico,SI,link_in_homepage,https://www.aesfanogas.it/societa-trasparente/,
05375771002,"'TECNOBORSA -  CONSORZIO PER LO SVILUPPO DEL MERCATO IMMOBILIARE-S.C.P.A.',  IN FORMA ABBREVIATA 'TECNOBORSA S.C.P.A.'",https://www.tecnoborsa.com,controllo_pubblico,SI,link_in_homepage,https://www.tecnoborsa.com/societa-trasparente/,
01502970666,A.M.A. -  AZIENDA MOBILITA' AQUILANA - SOCIETA' PER AZIONI,https://www.ama.laquila.it,controllo_pubblico,SI,link_in_homepage,http://www.pa33.it/trasparenza/amalaquila,
02047620303,A&T 2000 S.P.A.,https://www.aet2000.it,controllo_pubblico,SI,redirect,https://www.aet2000.it/amministrazione-trasparente,
02967830163,A T B  SERVIZI S.P.A.,https://www.atb.bergamo.it,controllo_pubblico,SI,link_in_homepage,https://www.atb.bergamo.it/il-gruppo/societa-trasparente,
91006090798,A.KR.E.A. S.P.A. - AZIENDA KROTONESE PER L'ENERGIA E L'AMBIENTE,https://www.akreaspa.it,controllo_pubblico,SI,redirect,https://www.akreaspa.it/amministrazione-trasparente,
01937820833,A.M.A.M. AZIENDA MERIDIONALE ACQUE MESSINA S.P.A.,https://amam.it,controllo_pubblico,SI,redirect,https://amam.it/amministrazione-trasparente,
12015260156,A.M.A. AZIENDA MULTISERVIZI AMBIENTALI DI ROZZANO S.P.A.,https://www.amarozzano.it,controllo_pubblico,SI,link_in_homepage,https://www.amarozzano.it/societa-trasparente/,
06601560821,A.M.B. S.P.A. AZIENDA MULTISERVIZI COMUNE DI BAGHERIA,https://www.ambspa.it,controllo_pubblico,SI,link_in_homepage,https://ambspa.portaletrasparenza.net/,
10179110969,A.S.M. FARMACIE COMUNALI GARBAGNATE MILANESE S.R.L,https://WSTHMSJL,controllo_pubblico,NO,,,connessione_rifiutata
01935420768,A.M.A. S.R.L.,https://www.amautility.it,controllo_pubblico,SI,link_in_homepage,http://www.amautility.it/amministrazione-trasparente,
00396610750,'SOCIETA' TRASPORTI PUBBLICI DI TERRA D'OTRANTO' *S.P.A.,https://www.stplecce.it,controllo_pubblico,NO,,,
04252610284,A.S.P. S.R.L. - (ANGUILLARA VENETA SERVIZI E PATRIMONIO) IN LIQUIDAZIONE,https://www.aspsrl.com,controllo_pubblico,NO,,,connessione_rifiutata
01177760491,A.S.A. - AZIENDA SERVIZI AMBIENTALI S.P.A.,https://www.asaspa.it,controllo_pubblico,SI,link_in_homepage,https://www.asaspa.it/societa-trasparente-2/,
